Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Associato confermato,MARSOCCI Paola,F,"ROMA ""La Sapienza""","Sc. Politiche, Sociologia, Comunicazione (*)",IUS/08,12/C1,COMUNICAZIONE E RICERCA SOCIALE,2011,12 - Scienze giuridiche
Ricercatore,MARTELLA Melo,M,MESSINA,Economia,IUS/12,12/D2,"SCIENZE ECONOMICHE FINANZIARIE, SOCIALI, AMBIENTALI, STATISTICHE E DEL TERRITORIO",2011,12 - Scienze giuridiche
Ricercatore,MARTELLA Rita,F,CHIETI-PESCARA,Economia,IUS/04,12/B1,ECONOMIA AZIENDALE,2011,12 - Scienze giuridiche
Ricercatore non confermato,MARTELLONI Federico,M,BOLOGNA,Giurisprudenza,IUS/07,12/B2,"SCIENZE GIURIDICHE ""A.CICU""",2011,12 - Scienze giuridiche
Ricercatore non confermato,MARTIELLO Gianfranco,M,FIRENZE,Giurisprudenza,IUS/17,12/G1,DIRITTO COMPARATO E PENALE,2011,12 - Scienze giuridiche
Ricercatore,MARTINA Giuliana,F,"""Ca' Foscari"" VENEZIA",,IUS/04,12/B1,Economia,2011,12 - Scienze giuridiche
Associato non confermato,MARTINELLI Claudio,M,MILANO-BICOCCA,Giurisprudenza,IUS/21,12/E2,GIURIDICO DELLE ISTITUZIONI NAZIONALI ED EUROPEE,2011,12 - Scienze giuridiche
Ricercatore,MARTINELLI Enrica,F,FERRARA,Giurisprudenza,IUS/11,12/C2,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Ricercatore,MARTINENGO Giovanni,M,"""Ca' Foscari"" VENEZIA",,IUS/07,12/B2,Economia,2011,12 - Scienze giuridiche
Associato confermato,MARTINES Francesca,F,PISA,Economia,IUS/13,12/E1,"ISTITUZIONI, IMPRESA E MERCATO 'A. CERRAI'",2011,12 - Scienze giuridiche
Ricercatore,MARTINES Francesco,M,MESSINA,Scienze Politiche,IUS/10,12/D1,"SCIENZE GIURIDICHE, STORICHE E POLITICHE",2011,12 - Scienze giuridiche
Associato confermato,MARTINI Adriano,M,PISA,Giurisprudenza,IUS/17,12/G1,DIRITTO PUBBLICO,2011,12 - Scienze giuridiche
Associato non confermato,MARTINI Alessandro,M,UNICUSANO - Telematica Roma,Giurisprudenza,IUS/01,12/A1,DIPARTIMENTO UNICUSANO,2011,12 - Scienze giuridiche
Ricercatore,MARTINI Giovanni,M,"CAMPANIA - ""L. VANVITELLI""",Giurisprudenza,IUS/10,12/D1,"DISCIPLINE GIURIDICHE ED ECONOMICHE ITALIANE,EUROPEE E COMPARATE",2011,12 - Scienze giuridiche
Ricercatore non confermato,MARTINICO Giuseppe,M,Scuola Superiore Sant'Anna,,IUS/09,12/C1,"Istituto Diritto, Politica e Sviluppo (DIRPOLIS)",2011,12 - Scienze giuridiche
Assistente r.e.,MARTINO Carla,F,"ROMA ""La Sapienza""",,IUS/06,12/B1,Diritto ed economia delle attività produttive,2011,12 - Scienze giuridiche
Ordinario,MARTINO Gerardo,M,SALERNO,Scienze Politiche,IUS/13,12/E1,SCIENZE ECONOMICHE E STATISTICHE/DISES,2011,12 - Scienze giuridiche
